download_time,name,source_format,url,event_uuid,data_type,data_size,threat_level,event_date
2025-12-05T09:37:57.833160,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,4733,,
2025-12-05T09:37:57.873013,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,9032,,
2025-12-05T09:37:57.971880,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-05T09:37:59.641200,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8565,,
2025-12-05T09:37:59.722018,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//30d83fbc-656c-4e3b-aea0-423f3807b96c.json,30d83fbc-656c-4e3b-aea0-423f3807b96c,json,2128,2,2025-11-29T00:03:02
2025-12-05T09:37:59.812099,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/76bb50a0-afbf-45e7-818e-2ed63f99b7af.json,76bb50a0-afbf-45e7-818e-2ed63f99b7af,json,2460,2,2025-11-30T00:03:07
2025-12-05T09:37:59.903061,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//9a8b688b-0f83-4143-8c55-d655be1c1b35.json,9a8b688b-0f83-4143-8c55-d655be1c1b35,json,1656,2,2025-12-03T00:03:01
2025-12-05T09:37:59.972352,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//3dad2b14-4e7f-43fe-a811-0c227eefa614.json,3dad2b14-4e7f-43fe-a811-0c227eefa614,json,1716,2,2025-12-02T00:03:02
2025-12-05T09:38:00.013134,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/e2aebdf0-a1c5-44ac-8487-e52906b7dafe.json,e2aebdf0-a1c5-44ac-8487-e52906b7dafe,json,1793,2,2025-11-29T00:15:16
2025-12-05T09:38:00.042268,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//8b12f4e9-844f-4654-bc33-2fad40c42e07.json,8b12f4e9-844f-4654-bc33-2fad40c42e07,json,1484,2,2025-12-01T00:03:02
